BRANCH	TIME	EVENT	BROKEN_ADJACENCIES
n37	3.156625300168323	L	+73_38|-72_38,-72_38|-71_36
n41	3.152136420205261	O	+79_37|+77_37
n41	3.158193361683176	AT	-19_84|-20_95
n39	3.141406458672155	D	-46_127|-122_49
n39	3.1458437440179265	O	-23_78|-13_74
n39	3.1507404898507634	I	-42_164|+61_112,+38_188|+41_138
n39	3.160690428504945	AT	-26_82|+120_63
n39	3.1657767736024	D	+49_124|+50_158
n40	3.075831127991802	O	+61_101|-60_113
n40	3.1426576370486625	O	-23_83|-13_79
n40	3.153802591322618	L	+120_51|-27_77,-27_77|+29_77
n40	3.186058584936016	AT	+41_137|-42_183
n38	2.9790743381534552	L	+53_84|+52_84,+52_84|-40_78
n38	3.0047074740335717	L	-13_69|+14_71,+14_71|-15_75
n35	2.977639525099925	L	-48_97|+38_135,+38_135|+41_109
n35	3.04405002809131	I	-17_66|-19_70,+30_70|-29_66
n35	3.1907974345835357	L	+49_110|+50_136,+50_136|+51_110
n36	2.9676936082738394	AT	+29_65|-30_73
n36	2.984734697241868	P	-57_105|-56_101,-55_105|+54_113,+38_161|-42_143
n36	3.19266302609104	O	+6_43|+103_39
n33	2.679148790285568	L	+61_48|-60_50,-60_50|+59_50
n33	2.7723658882803903	L	+54_102|+53_98,+53_98|+52_98
n33	3.091788865515868	AT	-17_62|-19_89
n33	3.1640739483800644	I	-16_58|-17_60,+24_62|+25_62
n33	3.208369037123941	AT	+15_62|-14_87
n34	2.647802588864922	L	+51_58|-39_66,-39_66|+38_64
n34	2.8305460481840408	P	-48_97|+49_95,+51_97|+38_135,+50_125|+51_103
n34	2.847669278737901	L	+54_99|+53_95,+53_95|+52_95
n34	2.9223264684773502	L	-55_93|+54_99,+54_99|+52_95
n32	2.249149877614317	L	+41_90|+86_38,+86_38|+87_36
n32	2.2969005916619314	O	-23_53|-13_49
n32	2.507478105120656	L	+50_99|+51_85,+51_85|-39_107
n32	2.536108485169044	P	+41_101|-42_109,-43_69|+50_105,+118_17|-68_37
n32	2.571141737480785	AT	+47_87|-48_95
n32	2.5999282008055684	O	+41_95|-42_103
n32	2.8553094824248424	AT	-39_111|+38_149
n32	2.866808561131758	P	+93_39|+94_43,-95_39|+96_39,+106_31|+79_37
n32	2.8795674717900006	AT	+3_37|-4_43
n31	2.2177305794666573	P	+61_69|-60_75,-57_75|-56_73,+77_34|-76_36
n31	2.313825541778165	D	-88_38|-89_42
n31	2.3422023701075667	D	+79_36|+77_36
n31	2.369778130993355	I	-39_120|+38_116,-5_36|+6_36
n31	2.5900568816175547	P	-122_22|+47_86,+47_86|-48_86,-42_106|+61_76
n31	2.5938983730113523	L	-42_106|+47_86,+47_86|+61_76
n31	2.63866599848213	D	-12_38|+14_50
n31	2.700502781429001	L	-82_45|-81_45,-81_45|-80_41
n31	2.7036768048540463	L	+59_80|-57_80,-57_80|-56_78
n31	2.74662291727953	L	-13_53|+24_57,+24_57|+25_57
n31	2.7554921927287364	AT	-82_44|-81_49
n31	2.883364721424852	AT	+29_59|-30_67
n31	2.891272802103779	AT	+1_36|+99_45
n29	2.1438407103907733	D	-46_82|-122_20
n29	2.1825209718077785	O	+83_38|-82_36
n30	2.106757440444781	D	+79_25|+77_27
n30	2.155522011424269	P	-26_50|+120_24,-101_50|-31_46,-26_48|+120_22
n18	2.029923986101287	I	+9_17|+8_17,-82_17|-81_17
n18	2.06614662503567	O	+50_47|+51_45
n18	2.084317207832767	L	+84_23|-85_19,-85_19|-107_13
n18	2.142108642781092	L	+9_19|+82_19,+82_19|-83_21
n18	2.2130334726645637	P	-95_19|+96_19,+19_25|+17_23,-60_35|+59_35
n18	2.2471000953655555	L	+38_45|+41_41,+41_41|-42_45
n18	2.2844464469007537	AT	+52_37|-40_83
n18	2.3086613654474237	O	-7_19|-8_19
n18	2.387015452763325	D	+59_37|-57_37
n18	2.4596867204355	O	-57_37|-56_35
n18	2.486030241145097	AT	+50_49|-39_133
n18	2.5733953754100143	AT	-39_49|+38_129
n18	2.5832404052258866	L	-60_84|+59_84,+59_84|-39_125
n18	2.591318744468262	D	+38_49|+41_45
n18	2.843199343475987	P	-90_19|-91_19,-91_19|+92_19,+26_23|-25_23
n18	2.8694393423778037	O	+3_19|-4_19
n18	2.905950594565615	D	+59_85|-57_37
n18	3.0048311624055843	AT	-99_21|+20_79
n28	2.0205157438070764	O	-60_41|-57_41
n28	2.039955281521864	L	+13_35|+12_31,+12_31|+11_31
n28	2.164603546555677	L	+54_61|+53_61,+53_61|+52_61
n28	2.218509986050982	L	-101_43|-31_39,-31_39|+33_39
n28	2.2959533921362207	I	-76_33|-75_31,-74_33|+73_33
n28	2.421887617022511	L	-39_81|+38_79,+38_79|+41_73
n28	2.4380927168369366	P	-101_43|+33_39,+33_39|-34_39,+118_13|-68_33
n28	2.6864252954657206	L	-23_41|+24_41,+24_41|+25_43
n28	2.7273993112447408	I	+92_35|+93_35,-26_41|+120_15
n28	2.8077421008868724	L	-63_31|-62_31,-62_31|+61_55
n28	2.879818323050348	L	-101_41|-31_37,-31_37|+33_37
n28	3.0001671590157404	I	-103_29|-6_33,+4_33|-3_33
n28	3.021809538154841	O	-56_57|-55_61
n28	3.176946409835198	D	+112_19|-5_33
n24	2.083409068989821	O	+103_23|-7_27
n21	2.004176677651285	AT	-31_30|+33_41
n21	2.015225359965225	L	+33_28|-34_28,-34_28|-35_28
n21	2.3137007916713195	P	+4_24|-3_24,-3_24|+2_24,+74_26|+75_24
n21	2.3297175665670795	AT	-64_24|-65_39
n21	2.5590904691701017	AT	+4_24|+2_41
n21	2.601563734833171	L	-83_26|+84_28,+84_28|+18_22
n21	2.629781848289406	L	-37_28|-38_60,-38_60|+39_62
n21	2.9290032228038734	D	+43_40|+42_58
n21	3.010730859631604	D	+33_41|-38_62
n21	3.1083131606441188	I	+33_28|-35_28,-17_32|-83_28
n21	3.12790496889812	L	+34_30|-48_94,-48_94|+49_52
n21	3.1645360357150807	L	+33_59|-38_62,-38_62|+39_64
n26	1.9809035678698053	P	-19_28|-20_26,-22_24|-23_24,+75_22|+76_24
n26	2.195492754001262	L	-50_75|-49_65,-49_65|+48_65
n26	2.327496424084037	O	-107_21|+86_31
n26	2.4343622489505155	L	-23_37|+24_37,+24_37|+25_39
n26	2.4573893856766813	L	-30_41|-101_39,-101_39|+33_35
n26	2.4768351299163887	L	+48_63|-47_63,-47_63|+46_63
n26	2.551398389975399	AT	-41_67|-38_127
n26	2.639535164175832	L	+76_31|-77_29,-77_29|-79_27
n26	2.686239783463959	AT	+6_29|+103_25
n26	2.704357018785096	L	+97_29|+98_29,+98_29|-99_31
n26	2.7567527300525696	L	-9_29|-11_29,-11_29|-12_29
n26	3.0037892393898056	L	-45_37|-44_37,-44_37|+43_49
n26	3.0344551274626106	L	+86_31|+87_29,+87_29|-88_29
n25	1.9595334261424877	I	+66_24|-67_22,-90_22|-91_22
n25	2.2102158006675108	P	+29_38|-30_40,-30_40|-101_38,-87_28|-86_30
n25	2.272381786885216	P	+56_52|+57_54,+57_54|-59_54,-7_28|-8_28
n25	2.2782740049191395	L	+63_28|-64_28,-64_28|-65_28
n25	2.2796575235098016	D	+24_36|+25_38
n25	2.315628784134496	L	-16_55|-17_57,-17_57|+18_29
n25	2.3772197596180584	O	-16_55|+18_29
n25	2.4900576494779862	I	+18_28|-19_58,+24_54|-74_41
n25	2.495294047684834	P	-2_39|+3_39,+3_39|-4_39,-68_38|+67_38
n25	2.5932711309003262	O	+94_44|-95_40
n25	2.60785415399699	L	-91_41|+92_41,+92_41|+93_41
n25	2.66984275987304	I	+103_34|-7_38,-12_40|-13_50
n25	2.708458357685759	O	+89_32|+88_28
n25	2.7171127243276807	O	+42_70|-41_66
n25	2.737739435711519	O	-15_57|-16_55
n25	2.9167430745703538	AT	+14_54|-15_65
n25	3.042803526160868	AT	-35_36|-37_59
n25	3.0479093027160618	I	-72_40|-71_38,-100_22|-1_38
n25	3.0711824458421804	AT	-65_38|+66_51
n25	3.190264366198126	O	-67_38|-3_39
n25	3.2072512907056	L	+33_34|-34_34,-34_34|-35_36
n27	1.9473089630819629	P	+24_22|+25_24,-30_26|-101_24,+98_20|-99_22
n27	2.2750912115980344	O	-14_38|+13_34
n27	2.2762969457425424	I	+51_70|-39_82,-43_52|+50_80
n27	2.300487151182397	D	-81_30|-80_30
n27	2.3058259199553337	D	+42_74|+41_70
n27	2.3312192922513253	P	+25_42|-26_42,+120_16|-27_42,-91_34|+92_34
n27	2.3344923565411277	I	-56_58|-55_62,-40_58|-46_68
n27	2.344572535111846	D	+38_88|+41_80
n27	2.397519573310221	P	-35_48|-37_46,+43_70|+42_110,-90_32|-91_32
n27	2.4585390183518543	AT	+43_54|+42_121
n27	2.5061151634952616	AT	+52_64|-40_89
n27	2.5999257444702857	P	-66_34|+65_32,-63_32|-62_32,+16_38|+15_40
n27	2.6781817850890537	O	-39_132|+38_84
n27	2.7119724243326	P	+7_32|-103_28,-103_28|-6_32,-6_30|+5_30
n27	2.8769839704428826	AT	+55_62|-46_109
n27	2.8873955801174995	I	+38_82|+41_74,-45_48|+43_70
n27	2.9526433792318287	P	+49_72|+50_84,-39_88|+38_148,+52_64|-40_89
n27	2.9537821813178056	L	+118_10|-68_30,-68_30|+67_30
n27	2.9602955749247606	I	+120_14|-27_40,+17_42|+16_40
n27	3.1005018515231795	O	+29_42|-30_44
n23	1.9242066127572963	L	+38_42|+41_39,+41_39|-42_41
n23	1.9245740362266457	I	+106_18|+79_24,+118_8|-68_26
n23	2.0188169951322577	I	-27_36|+29_36,+33_32|-34_32
n23	2.256089735669516	AT	+50_70|-39_119
n23	2.2991961240764502	L	+42_62|+107_18,+107_18|+85_26
n23	2.365076750005648	L	-95_28|+96_28,+96_28|+97_26
n23	2.426681520237516	D	-39_72|+38_70
n23	2.575100531474216	L	+70_26|+71_26,+71_26|+72_28
n22	1.8812756569241231	O	-109_3|-15_13
n22	1.88844002045806	AT	-53_49|-54_49
n22	2.064116427486008	I	+42_59|+14_29,+94_29|-19_35
n22	2.214385907988328	AT	+46_53|-45_33
n22	2.455572995386211	P	+15_33|-123_1,-14_29|-19_35,+57_47|-59_47
n22	2.695073674117704	I	+13_27|+12_25,+2_25|+1_25
n22	2.810131889890416	L	-14_29|-59_47,-59_47|+60_47
n22	2.918176274583975	AT	-38_63|+39_157
n22	2.989632135929356	P	+39_157|+105_7,-51_57|-50_63,-65_25|+66_27
n22	3.093363589020788	AT	+72_27|-73_53
n22	3.098631119190045	O	-37_31|-64_25
n22	3.1229497084901	D	+24_29|+25_31
n22	3.204674734561926	L	+82_25|-85_25,-85_25|+86_27
n22	3.211018816831952	L	-28_23|+27_33,+27_33|+26_33
n20	1.9238993272691007	D	-54_45|+55_47
n20	1.9362228356070288	P	+84_27|-85_23,+87_23|-88_23,-53_68|-54_68
n20	2.032259140843011	I	-1_23|-2_23,+25_27|-26_27
n20	2.134087200677683	I	+93_23|+94_25,-18_21|+17_27
n20	2.144752029208321	L	-35_32|-37_27,-37_27|-45_29
n20	2.179921462573261	P	+63_23|-64_23,-65_23|+66_25,-54_43|+55_45
n20	2.197311771230136	O	+92_23|+93_23
n20	2.2411908527251803	P	+39_61|-51_53,+48_74|-47_74,-52_69|-53_69
n20	2.258052682154988	P	-34_27|-35_32,+43_39|+42_55,-49_49|+48_49
n20	2.380278483872595	O	-41_53|-38_57
n20	2.403496049973952	D	+60_43|+42_57
n20	2.4413777082347674	P	+57_87|-59_87,+42_57|-41_55,-59_45|+60_45
n20	2.4431872214500583	O	-73_25|+74_25
n20	2.463544065614934	O	-6_23|+5_23
n20	2.4961236507841305	I	+57_45|-59_45,+66_25|-67_23
n20	2.691794319105137	L	-96_23|+95_23,+95_23|-94_25
n20	2.8410497413023954	AT	+99_25|-98_43
n20	2.856057782004595	O	+74_25|+75_23
n20	2.918708321154095	AT	+48_74|-53_69
n20	2.9325882969719665	AT	+18_21|-19_67
n20	2.952683081001532	P	+12_23|+11_23,+9_23|+119_3,+46_74|-52_68
n20	3.067993003769653	L	+48_49|-47_49,-47_49|+46_49
n20	3.0842855234898896	AT	-45_29|-44_65
n20	3.109018824503836	O	-34_27|+42_55
n17	1.782635610459448	P	+38_37|+41_35,+41_35|-42_39,+42_35|+107_11
n17	1.787507858074468	D	-99_20|+20_22
